specimen,sample,site,NRM,PTRM,NRM_x,NRM_y,NRM_z,PTRM_x,PTRM_y,PTRM_z,NRM_sigma,PTRM_sigma,B_lab,steptype,temp_step,correction,s_tensor,aniso_type,NLT_beta
NA02-11Fc,NA02-11Fc,NA02-11F,1.893e-08,1.9405094186159357e-07,-1.5719971277518108e-08,-5.764251791052282e-10,1.0530676001420768e-08,-2.305140059816193e-09,-2.6668042506510967e-09,-1.940189231022709e-07,8.092889428321362e-11,7.92483711609657e-10,3e-05,IZ,833.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.3630000000000002e-08,2.2342015708839227e-07,-8.69939143004982e-09,-3.4940365332043324e-10,1.048691593528918e-08,4.769534564648625e-10,-3.9857960958839365e-09,-2.233840919543831e-07,5.827051395035402e-11,9.128995020207076e-10,3e-05,ZI,843.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.898e-09,2.419076650513083e-07,-1.4152022702744455e-09,-8.946537371745758e-10,-8.939805505544402e-10,-4.1683437034375964e-10,2.6576619894410204e-09,-2.41892706571392e-07,8.114265258824059e-12,1.0380420438736689e-09,3e-05,IZ,853.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,2.9909999999999997e-09,2.500661130448056e-07,-2.45130652836564e-09,9.55724478594495e-10,-1.422592009329193e-09,-1.7824068968061083e-10,-1.1027389920511648e-09,-2.5006361808609714e-07,1.2787021806713782e-11,1.0752803073473054e-09,3e-05,ZI,873.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,3.043e-07,7.446216015293935e-09,-1.4843939361009366e-07,1.1943150033430565e-08,2.653706796010943e-07,5.913154707071261e-10,-3.6651244291101815e-09,-6.454714701647321e-09,1.300933044394184e-09,8.695687848497439e-10,3e-05,P,373.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,2.094e-07,2.2522448051501954e-08,-1.0370137211131094e-07,8.708047517181211e-09,1.8171008593545365e-07,1.5656082524378233e-10,-8.201234419679947e-10,-2.2506966754330485e-08,8.952197814529811e-10,8.336573896052115e-10,3e-05,P,573.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.488e-07,4.967182566903701e-08,-7.739768050597891e-08,4.462722179027624e-09,1.2700835863456873e-07,2.941977136623801e-09,2.784447137414843e-10,-4.9583843178642136e-08,6.361447157602846e-10,5.745181964210069e-10,3e-05,P,673.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,1.296e-07,1.2154555022666983e-07,-6.980385035228323e-08,1.705969356834123e-09,1.0918183065212632e-07,6.26675515062722e-09,-3.0783391946457415e-09,-1.2134484903607864e-07,5.540615266299252e-10,4.6152555638374667e-10,3e-05,P,733.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,7.266e-08,1.507238584225232e-07,-4.228926017709986e-08,8.119952772622383e-10,5.9079901297677026e-08,-6.079172908043077e-09,4.659382275599547e-11,-1.5060120511982172e-07,3.1063356886520345e-10,7.906919702947889e-10,3e-05,P,783.0,1,,,
NA02-11Fc,NA02-11Fc,NA02-11F,3.663e-08,1.608853369037159e-07,-2.0341592800125642e-08,-3.806825619237922e-09,3.022390744193395e-08,-2.5278630386576102e-09,-9.893653889364895e-10,-1.6086243407087663e-07,1.5659933426276359e-10,6.446950479613637e-10,3e-05,P,818.0,1,,,
